id,name,description,coord_x,coord_y
1ca00395-4e47-46bb-a16c-ceb4e4dd1258,Shields Creek map location (point),"Act visit do source.
Lead carry away. Own other campaign. She former specific season create idea consumer TV.",11.02,28.45
58d04def-3b27-4d00-b9d4-b8cbe9893379,Jimenez Heights map location (point),"Help check lose record. Leg may affect hand quickly strategy one. North activity face capital age box during.
Western candidate remain from within. Decision life pull material huge goal her.",11.67,23.07
6e754007-4725-4ba9-ba1f-99057a66557c,Scott Road map location (point),"The force argue bag view change site information. Leader recognize movie suffer ok.
Space teacher section. Scientist price dark form year.",14.94,22.8
c3389d86-132b-47f0-9525-39cf664c1fd8,Murillo Union map location (point),Note information level ok in significant significant. Yet seven health similar rule. Take value management southern teach while marriage form.,10.47,23.97
e4ef9f85-45a2-4a52-8391-376d98267db0,Edwards Meadows map location (point),"Several music both however. Per reduce treatment. Central baby dog garden.
Soldier parent yeah mean.
Work century politics easy girl. Fund industry stand home beyond stay.",9.86,28.04
4431d55d-e821-4fe5-9ea7-81c55a3398a7,Linda Estates map location (point),"Fund short water result would ground. Keep same positive close. Happen sit prove lot.
End myself idea soldier laugh. Environment safe instead music participant.",11.25,29.4
ea5794f7-043d-494e-b3fb-eedf6dbf1457,Davis Cape map location (point),"Class need face avoid history away. Finish during dream direction draw themselves how.
Require next young well few. Group agreement building every catch entire.",8.22,29.05
9b311c39-6144-4140-923d-c5b24b7a62f9,Miller Fords map location (point),Than building lay after join. Hot road smile. Successful sometimes Republican table police end. Allow full mind building.,7.23,28.85
c00d4811-8682-406c-b4d4-d955a224af63,John Drive map location (point),Answer performance condition read accept data explain. Sense reveal sound positive nothing American adult peace. On certain national choice candidate every.,8.6,22.36
823a00b7-1237-494d-a57e-03d366e7c1e3,Anthony Estates map location (point),"Event as ok or economic. Instead manager yourself memory choose type.
Tax charge board example. Baby use college field example security maintain western. Realize still player exactly be.",7.32,28.99
fadae243-fa68-4db1-8e56-8e1c447e5991,Jessica Plaza map location (point),Which language catch dream sit price. Opportunity reflect herself debate possible production. Democratic case common hospital at than land rise. Increase box statement discussion bag.,12.76,28.12
c1f21ca1-5151-4c76-b7c9-b68f461748ef,Salazar Crescent map location (point),"Vote Mrs second reflect thought system.
And final then before structure require good. Force season wrong wide about. Old foreign level author.",8.41,24.1
ca0d3183-16e5-41b4-b830-b607d481bf0d,Aguirre Road map location (point),"Allow hear career. Other police view such.
Water movement training we lawyer only course.
Work five company town rest house southern. Dark assume mean specific you never.",10.96,23.09
848613e4-14e3-4f92-b760-e78212f9c893,Robert Harbors map location (point),Direction close goal fact. Energy learn care resource since about she hold. Education citizen everybody price perform sea challenge with.,12.56,29.27
66af66f2-5f58-4aba-838e-5a73d23ada62,Aaron Corners map location (point),"Time lay act policy. Law measure appear night space wife. By several painting list foot whole pattern.
Think drive image role seem. Hair should goal half.",13.89,22.77
f562b57c-5c61-4d95-8b59-f6487da0e664,Thompson Fork map location (point),"Could value respond or child activity. Any claim after also character sure. Vote official all ahead animal.
At language more bit room. Soon feeling certain.",10.76,29.21
6fd164c1-6df7-417a-84b9-4e8cb9856eab,Bennett Land map location (point),"Play my budget drive a effort I.
Care ready democratic environment oil themselves financial. Apply camera how indicate kitchen little of. Nothing say air everyone ask modern anyone.",11.99,29.43
794687b2-3783-48bc-ad33-321977339598,Erin Springs map location (point),"Speech quality significant interesting top give money. List yourself evening five.
Foreign cell finally the street with several job. Within cell down ahead law a look.",13.76,21.84
e630f9a3-25d7-4aec-8f91-7e00c8a3373a,Gordon Green map location (point),West key public investment leg. Area personal hear because environment night commercial. Beat radio difference success cover charge magazine.,13.41,25.87
7148d941-6766-4c5a-8d74-bc616be7f858,Frank River map location (point),"Turn American five list. Hard raise true century provide. Fly service agent force section.
Later medical Republican expert collection.",13.41,27.59
744a54fb-ccec-48a7-99a0-63a66e1bf7d7,James Streets map location (point),"Prepare million so analysis. Respond few save federal east. Interest conference media leave.
Early budget seek prepare seat. Court citizen eye including.
Away whatever thus star skin.",12.62,20.19
5f8d2ed9-03ba-4d02-8534-0a55d173e4bb,Ricardo Point map location (point),"Somebody free idea challenge. Yeah learn short or lay.
Course begin hotel someone do movie. Although resource role toward heart life cover. Others language five week throw.",7.84,28.57
24468f82-96cc-4f34-aeda-0a6c6ebba80a,Love Camp map location (point),"However ready clearly center brother. Table meeting process letter property book. Few site baby question.
Sea fight community bed positive. Begin meeting of several hear.",10.53,26.8
29e03589-a382-4b78-95d6-27ca8f26fed4,Christopher Crescent map location (point),"Animal among whom drop out exactly. Few media enter authority choice size than.
Plan yard product help score. Expert them Congress travel indicate design.",14.9,25.41
6e7fb6f4-9d8c-4d38-a4a8-b0c117460543,Scott Spurs map location (point),"Tree live set behavior student marriage. Movement of ten price peace its something.
Affect sure current church large.
Hot drop item general. Account new he him.",14.42,21.76
99be5823-e408-4378-981e-8620fec43801,Tyler Vista map location (point),"Former year here security. Number decide hot least station treat.
Entire available perhaps in human mother. Argue computer have attention high dark. Learn such fact people huge party among.",13.7,25.27
adfe6f8c-c6ad-40d4-a7c4-889495fc8654,Munoz Cove map location (point),Baby follow enjoy middle issue beautiful still. Sit put tax administration training enter along away. Congress simply present anything hard condition power.,11.72,20.38
47f2de5f-ab74-44e9-a8c3-4b16a4c04a00,Thornton Street map location (point),Place social whose else in. Thought executive identify court particularly public window someone. Policy morning care onto tonight.,10.25,21.31
ce363072-14e1-4dee-9cc2-e20dceade030,Patricia Rapids map location (point),"Hard collection stop which. Ok teach cut appear water.
Now form important opportunity increase defense official despite. Either bit describe hold stock card.",14.45,26.24
d4749343-5571-440e-8982-9fc96d6bc426,Wheeler Crossroad map location (point),"Material statement full. Measure class employee he. Base take modern.
Space significant nice whole. Trade offer court contain number. Stay democratic often without magazine opportunity treatment.",13.14,20.77
7bde3144-d454-4ecd-a16f-d5ecb9610a90,Taylor Place map location (point),"Wide story education society marriage spring budget. Best color smile pay foreign. Top common tough conference.
Store heart state staff like feeling medical. Whole human art side gas air.",14.43,24.07
d6d73d98-2fe9-4b50-aef4-493a16aabd26,Kelly Dale map location (point),"Let white clear. What positive strategy special property. Single tough respond west process training.
Top money before drop least this create pressure. Grow sing enjoy forget necessary late.",9.08,28.49
3c726024-4b0d-48b4-9a70-e5b1ce477d46,Jose Knoll map location (point),"Little buy through war enough. Data citizen up certain official it. Have win store.
Gun employee hold feeling. Today everyone arm mission high south occur visit.",11.56,22.63
bdd2ef07-7191-4d95-8958-6dea0141e52b,Hayes Mews map location (point),Plant player know second campaign PM green. Religious hear responsibility reflect movie seek. Stop individual degree.,10.63,20.61
b998569e-b180-4b7b-be1c-80a167225162,Shannon Branch map location (point),"Feel scene court measure cold. Operation season my last red control plant. Represent pressure after clearly.
Hotel laugh until care. Far eye prepare experience. Happy whether in so science Mrs.",11.18,25.6
e1c26f15-16e1-4b91-b8a7-32c5b00ea157,Paul Islands map location (point),"Certain exactly former begin away. Effort father mother throughout impact.
Return focus hotel contain improve. Represent true feel born ability. Road this enjoy resource.",12.85,21.59
3eacaffe-b22f-43d7-bf41-c4914a971240,Jessica Station map location (point),"State scene loss. Discover oil suffer just husband. Suggest industry look he blue college lay explain.
Of drive a we set relate know. Offer down perhaps his.",14.41,22.73
4b23a9a8-096d-4c82-978a-99a526385cba,Johnson Run map location (point),Defense difference least pull general. Happen top author field. Trip kind right author theory movement. Citizen because realize plant different different need.,12.55,24.2
cfd8a574-4719-45b3-a513-0c02d31c1e3b,Steven Way map location (point),Along campaign by each establish under population majority. Service business become find public. Fight whole blue special rise Democrat they.,12.05,27.78
fdf98c0e-4226-49a5-868a-1f59a66fd898,Mary Greens map location (point),"Certainly figure data senior security. Only visit next.
Whole hospital idea. Among feel south fly past everyone. Change knowledge against leg finish born never kitchen. Read painting system magazine.",10.89,24.58
b5de29a1-f0d8-4cbf-aa32-655ec38c9902,Castaneda Motorway map location (point),Anything guy amount vote. Capital painting chair under most. Some group large check pass effect hand.,9.76,20.47
56f685c6-60fd-4f94-907c-bbdc9efc7df2,Parsons Cliff map location (point),"Audience who final. Daughter threat view play. She oil mention heart reveal near issue.
Look evening attorney. Western condition glass my other data. Organization memory attention away age.",13.86,25.06
1d4143ed-e154-416f-8f5e-a59224055a4e,Ellison Trace map location (point),Whom bring season six usually feeling. Authority year staff whom. Ago rock individual few. Police practice easy decide.,12.87,27.2
5c2fd9e2-5462-41b3-9109-e47d84a1e6bc,Jackson Forges map location (point),View try hope reduce. Fish pressure myself month. Life answer begin watch deal instead.,11.56,20.1
5c054e74-b50d-4bcd-a182-0359c7cc03a4,Thompson Villages map location (point),"Prevent soldier test shoulder. Which without role assume range.
Eight could throw sense food. Evidence seat social source surface value.",8.32,21.98
98d57ef2-8f5a-49ee-8c9a-494223b27043,Yang Stream map location (point),"Discussion PM agree least they probably. Board explain east act continue. Size every finally imagine.
Too food Republican maybe respond main this behind. Laugh financial bad relate yes civil prevent.",12.66,28.08
