id,route_id,point_id,sequenceNr
e58b3f0c-62d8-415e-9753-7a5c491979a0,30d36163-3afc-4674-a865-718d412d3a38,def0a5e3-c6c8-4aef-9b39-3d9d76ec545f,7
aa3cb3a3-255d-4727-9b05-1beaf217fd69,99abe2a3-6641-4021-98ce-ce3f8dc65684,9da035e4-baae-49cb-998c-e3ac35cbb1be,10
b7657b3d-7c28-4d2a-bf53-9c105e93ac09,9624f184-db5e-4338-a360-44d80b223503,fd614496-8b1e-4dc1-909b-ea51d6256e75,3
2008ce2c-ae3a-4a14-b8b3-064d42b57aa5,2c1a4de3-8d79-4982-8cc0-443dd24c4c00,0e08d430-aa64-4826-882d-bcfb48ef5281,9
64b3cd18-8052-45a5-85a9-4a27707bc84d,c1e54a05-9dfa-483f-8a2e-bd77c1d7dd73,84737699-6973-4e45-a3b0-c05ad06f8e84,8
9cfedfab-2763-4138-97f6-cbe11390680c,004e2a62-d5e9-4cba-b682-fdbb6b486e0f,f023f0e1-f266-4ce7-b8d5-832d7ab386db,9
cefd6449-5495-4a5f-9925-96ce2af44516,95cd17d7-e70b-4af0-b6b7-ba25713e83e4,3913cc87-536b-4180-b7bb-acb6a4251f72,5
795395ee-6e72-41a6-b8b8-f63f67094605,7af9e6d7-811f-48fc-b8a5-c5101fd9746d,9682eb7e-2647-4cb8-a80b-39aeb0d46755,4
aca39ebd-49db-46a0-9582-f22613e58798,cd8594d3-5caa-4ae2-88fe-4e6aae2ca0c5,00a7d55d-c8b9-439e-b275-9af0d45a562c,10
085520a5-8643-45d4-b2da-8f7ad67b49f6,53f1f97e-e4a7-4ce3-88f0-bff54e0048e5,e2fb2ee0-ba1a-4984-a10b-af1513b86814,6
2dd54e8d-bd66-407b-a5fa-a48e94763996,495ee814-46d4-4a53-ad77-89f3d8f03af6,7104446e-1396-40bb-9872-d4a4e7c45aa0,3
b27a3dc8-1f0b-40e6-b7ad-c16904fc5049,fae15d29-f0a9-44b4-b7cd-cd3698f6313c,df6d35ff-d57a-4cbe-b206-7fd2d6d54b9f,2
ecba7543-5f70-40c4-b02d-386f4ad8e9e4,588097df-e500-45e9-b571-652d5251d3fa,04c1fc76-c4a1-4ecf-89d3-114b7e19a62c,10
fdee22c3-ace5-4793-a63a-d5a45da007fb,fd9f31cb-106c-46ea-8444-3708a983e2fa,9bee542e-372d-4c9b-9716-5a4661c059ff,6
d46dafb9-a659-4754-ac44-4e5d04cae96c,8b2e0ef4-522a-4c97-9c7e-aebca0c68a03,040380f9-2ff7-4aa1-9a86-ec4bd942d8fd,8
f11947f1-05fa-4f56-bb54-2c7f50ead3fd,89b7d155-5901-4d01-a7e3-8c7ff48064a0,b2fdd6f4-893e-489f-a781-4570684a2c5d,7
b226fc31-23b3-4418-b6f5-df7693986eab,fa3e5eb3-2519-4e7c-933e-ed4b5aaa8b5e,f9560d2e-bb32-460b-bc0c-ca7c40d19283,2
3231cc6b-e9fb-4f20-9caa-795731e38262,db8024b0-fdda-4537-91cc-723bc37f17c6,3f4b87f8-6f09-42aa-92f5-0ba4f01551cf,7
37eb340c-18cb-42fd-8aab-44f29856ecd3,a238f3d1-7801-4f7b-aa6e-1f0b3a6e1aac,e7b28800-8c67-42b9-a893-76a7917cb1ab,3
fb4dd90f-6249-4290-92ce-744213e85680,8f6f11a9-b416-4f0f-a35b-257dd0022f29,907be87d-93fd-4175-8b18-8834a58e4d8d,5
7dfa315e-8340-4e7f-ace3-8a9f17052463,e2132880-0953-40ab-b7ff-9fdb964bb97d,e998141c-a4e7-4e5b-a127-6daae72e7801,9
93f456a1-e734-4f3c-ac43-2671d62e4e5d,530c5b87-ab5c-4b8f-a764-0238ac7d4ca4,1400cd78-9d95-4ca6-9327-332434ff5b41,9
e7bf6013-438e-4563-b900-097a46dd55d7,70825062-5870-4beb-b375-af8e6e146937,df448e01-3a05-4a4e-a916-89d51ad4f945,10
cd81c7ba-8697-4eec-9b40-3ff4f9389155,f9ea7ce1-24a8-427b-9280-c123edbc7931,869b665b-d604-4e17-8cea-37adba58b385,4
7c262de4-d1c8-4c3b-93e7-467e5d749e40,ecad9a41-e539-4f49-8398-dbdf26dd277c,a514a4fc-bf75-4bff-a5e2-d6e2bcc318fe,3
e8b17b5b-ca3f-491b-91eb-cf5dc0baa13e,99a8ebb4-d224-4963-a6ad-d405f3f5b50f,7a019138-6159-4c26-aa4f-582a431d4c7b,9
8e126019-dc9b-47b1-93d9-8044a72bf306,edd46ca9-ca9e-479a-ac40-aec07e97248c,e998141c-a4e7-4e5b-a127-6daae72e7801,4
c5bf6c2a-49bb-4ae3-930c-b0d73cc00303,e25c879a-cb94-4faa-9e76-bd837e5ff80a,869b665b-d604-4e17-8cea-37adba58b385,3
f5d92a36-953e-439a-8159-04e1b1f5e979,254a8bd0-2783-4aad-a7bc-479da4b3a1f4,fc4fdd6e-861e-47f8-bac3-efac485d0673,0
6d6fdf11-7a50-43b3-b845-8561918c8ba7,584d1ec1-2f7d-4d2d-97b0-dcb0fae2dcb4,04e652c4-9c1d-440d-811a-15480c7e49df,9
80486d2d-efbf-45f8-bf59-d7e771bd4ed9,6fd51742-5e90-4c1b-9f20-29848c1e6d4a,9007b0db-c9b0-43c0-beff-d20aad86c133,3
